Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
FR;2013;Domdidier;1564;Domdidier;Domdidier;2014
FR;2014;Dompierre (FR);1563;Dompierre FR;Dompierre;2014
GR;3705;Donat;7433;Donat;Donat;2014
TI;5048;Acquarossa;6715;Dongio;Dongio;2014
TG;4506;Sulgen;8583;Donzhausen;Donzhausen;2014
LU;1001;Doppleschwand;6112;Doppleschwand;Doppleschwand;2014
VS;6212;Dorénaz;1905;Dorénaz;Dorénaz;2014
ZH;26;Dorf;8458;Dorf;Dorf;2014
SH;2915;Dörflingen;8239;Dörflingen;Dörflingen;2014
SO;2473;Dornach;4143;Dornach;Dornach;2014
TG;4666;Kemmental;8566;Dotnacht;Dotnacht;2014
AG;4065;Dottikon;5605;Dottikon;Dottikon;2014
AG;4304;Döttingen;5312;Döttingen;Döttingen;2014
BE;386;Dotzigen;3293;Dotzigen;Dotzigen;2014
TG;4406;Dozwil;8582;Dozwil;Dozwil;2014
SG;3394;Mosnang;9612;Dreien;Dreien;2014
ZH;191;Dübendorf;8600;Dübendorf;Dübendorf;2014
FR;2293;Düdingen;3186;Düdingen;St. Wolfgang;2014
BL;2785;Duggingen;4202;Duggingen;Duggingen;2014
VS;6135;Leytron;1912;Dugny (Leytron);Dugny;2014
VD;5715;Duillier;1266;Duillier;Duillier;2014
SO;2573;Dulliken;4657;Dulliken;Dulliken;2014
ZH;113;Dürnten;8635;Dürnten;Dürnten;2014
AG;4134;Dürrenäsch;5724;Dürrenäsch;Dürrenäsch;2014
BE;952;Dürrenroth;3465;Dürrenroth;Dürrenroth;2014
TG;4726;Fischingen;8374;Dussnang;Dussnang;2014
GR;3618;Lumnezia;7112;Duvin;Peiden Bas;2014
LU;1126;Ebersecken;6245;Ebersecken;Ebersecken;2014
SG;3378;Neckertal;9122;Ebersol;Ebersol;2014
ZH;4;Hausen am Albis;8925;Ebertswil;Ebertswil;2014
LU;1054;Ebikon;6030;Ebikon;Ebikon;2014
ZH;195;Maur;8123;Ebmatingen;Ebmatingen;2014
SG;3352;Ebnat-Kappel;9642;Ebnat-Kappel;Ebnat-Kappel;2014
LU;1002;Entlebuch;6163;Ebnet;Ebnet;2014
VD;5518;Echallens;1040;Echallens;Echallens;2014
FR;2131;Echarlens;1646;Echarlens;Echarlens;2014
VD;5634;Echichens;1112;Echichens;Echichens;2014
VD;5541;Goumoëns;1376;Eclagnens;Eclagnens;2014
VD;5482;Eclépens;1312;Eclépens;Eclépens;2014
VD;5805;Oron;1612;Ecoteaux;Ecoteaux;2014
VD;5635;Ecublens (VD);1024;Ecublens VD;Ecublens;2014
FR;2233;Hauterive (FR);1730;Ecuvillens;Ecuvillens;2014
JU;6713;Ederswiler;2813;Ederswiler;Ederswiler;2014
ZG;1704;Menzingen;6313;Edlibach;Edlibach;2014
AG;4096;Effingen;5078;Effingen;Effingen;2014
ZH;174;Illnau-Effretikon;8307;Effretikon;Effretikon;2014
SO;2401;Egerkingen;4622;Egerkingen;Egerkingen;2014
SG;3402;Flawil;9231;Egg (Flawil);Egg bei Flawil;2014
